label,beijingValue,shanghaiValue,chengduValue,guangzhouValue,shenzhenValue
1/1/2015 0:00,22,32,152,38,37
1/1/2015 1:00,9,40,130,40,26
1/1/2015 2:00,9,37,125,40,30
1/1/2015 3:00,13,44,131,34,26
1/1/2015 4:00,10,38,133,42,33
1/1/2015 5:00,6,38,133,44,33
1/1/2015 6:00,8,32,131,48,39
1/1/2015 7:00,17,41,142,50,36
1/1/2015 8:00,11,51,154,52,33
1/1/2015 9:00,33,50,153,48,41
1/1/2015 10:00,37,35,172,49,59
1/1/2015 11:00,40,22,177,47,45
1/1/2015 12:00,63,33,195,40,40
1/1/2015 13:00,62,31,208,47,35
1/1/2015 14:00,44,40,210,44,36
1/1/2015 15:00,48,51,206,50,26
1/1/2015 16:00,51,48,196,50,46
1/1/2015 17:00,82,53,180,51,52
1/1/2015 18:00,87,52,190,65,48
1/1/2015 19:00,106,57,189,71,49
1/1/2015 20:00,123,63,175,71,51
1/1/2015 21:00,136,58,195,69,56
1/1/2015 22:00,139,63,201,71,55
1/1/2015 23:00,154,57,184,59,46
1/2/2015 0:00,126,59,163,58,49
1/2/2015 1:00,98,60,169,55,56
1/2/2015 2:00,66,66,175,52,68
1/2/2015 3:00,45,70,171,46,83
1/2/2015 4:00,28,95,169,46,73
1/2/2015 5:00,12,76,171,41,66
1/2/2015 6:00,12,81,162,42,70
1/2/2015 7:00,16,95,166,35,50
1/2/2015 8:00,13,66,167,37,42
1/2/2015 9:00,24,71,164,41,37
1/2/2015 10:00,34,80,183,41,35
1/2/2015 11:00,13,82,189,37,46
1/2/2015 12:00,19,83,197,38,46
1/2/2015 13:00,26,76,206,42,45
1/2/2015 14:00,26,66,209,46,37
1/2/2015 15:00,41,71,202,46,30
1/2/2015 16:00,85,77,208,56,31
1/2/2015 17:00,108,87,201,63,47
1/2/2015 18:00,87,96,200,70,45
1/2/2015 19:00,102,102,203,75,51
1/2/2015 20:00,117,100,222,93,51
1/2/2015 21:00,125,106,216,118,50
1/2/2015 22:00,145,112,233,150,47
1/2/2015 23:00,157,114,232,134,49
1/3/2015 0:00,163,111,186,119,63
1/3/2015 1:00,176,109,174,114,80
1/3/2015 2:00,193,108,193,106,92
1/3/2015 3:00,198,109,211,107,85
1/3/2015 4:00,214,106,196,118,91
1/3/2015 5:00,222,102,193,126,36
1/3/2015 6:00,209,103,196,120,34
1/3/2015 7:00,201,106,191,126,32
1/3/2015 8:00,179,107,183,132,39
1/3/2015 9:00,169,102,169,129,41
1/3/2015 10:00,147,109,162,123,33
1/3/2015 11:00,158,87,170,116,28
1/3/2015 12:00,170,84,168,103,25
1/3/2015 13:00,182,73,170,104,26
1/3/2015 14:00,172,79,173,106,38
1/3/2015 15:00,178,94,188,100,52
1/3/2015 16:00,193,89,168,105,64
1/3/2015 17:00,214,95,167,102,66
1/3/2015 18:00,241,97,152,102,-999
1/3/2015 19:00,262,107,154,113,-999
1/3/2015 20:00,264,93,156,133,-999
1/3/2015 21:00,305,91,158,152,-999
1/3/2015 22:00,290,85,160,152,-999
1/3/2015 23:00,322,85,157,91,-999
1/4/2015 0:00,272,75,158,74,-999
1/4/2015 1:00,247,79,160,65,-999
1/4/2015 2:00,241,85,162,58,-999
1/4/2015 3:00,206,87,174,71,-999
1/4/2015 4:00,163,93,166,100,-999
1/4/2015 5:00,137,90,173,93,-999
1/4/2015 6:00,144,95,171,87,176
1/4/2015 7:00,166,117,178,73,181
1/4/2015 8:00,160,132,182,67,182
1/4/2015 9:00,115,171,191,68,142
1/4/2015 10:00,106,184,198,79,145
1/4/2015 11:00,107,178,202,88,117
1/4/2015 12:00,112,159,201,88,52
1/4/2015 13:00,114,119,195,70,52
1/4/2015 14:00,158,114,173,69,57
1/4/2015 15:00,176,105,155,66,56
1/4/2015 16:00,195,116,196,69,66
1/4/2015 17:00,225,96,232,64,79
1/4/2015 18:00,269,126,220,88,81
1/4/2015 19:00,305,160,233,100,98
1/4/2015 20:00,360,159,231,83,99
1/4/2015 21:00,279,159,230,68,163
1/4/2015 22:00,321,122,198,73,173
1/4/2015 23:00,250,95,161,70,189
1/5/2015 0:00,171,84,140,64,165
1/5/2015 1:00,146,76,153,80,126
1/5/2015 2:00,150,69,137,83,114
1/5/2015 3:00,142,61,145,79,120
1/5/2015 4:00,148,59,164,69,142
1/5/2015 5:00,186,56,135,65,114
1/5/2015 6:00,178,63,107,73,80
1/5/2015 7:00,153,59,97,84,87
1/5/2015 8:00,159,60,82,87,94
1/5/2015 9:00,185,61,82,91,156
